x,y,z,dist
-85.423752,98.158783,-566.196045,1038.000000
-84.337471,98.192482,-565.980896,1042.000000
-78.886536,98.359024,-564.872620,1046.000000
-76.696571,98.424049,-564.419922,1050.000000
-72.299721,98.550774,-563.506897,1052.000000
-71.196716,98.582130,-563.277527,1055.000000
-67.878136,98.676292,-562.587219,1056.000000
-65.649353,98.739838,-562.123596,1062.000000
-61.182575,98.868225,-561.194275,1063.000000
-57.823795,98.960838,-560.495544,1067.000000
-56.701496,98.991158,-560.262085,1069.000000
-54.450825,99.051361,-559.794128,1072.000000
-51.066090,99.141769,-559.093628,1074.000000
-49.934212,99.171410,-558.860901,1076.000000
-47.667046,99.228920,-558.396851,1079.000000
-44.249134,99.312393,-557.701782,1081.000000
-43.108879,99.339706,-557.470764,1083.000000
-40.824100,99.394653,-557.009338,1084.000000
-37.382217,99.476837,-556.315063,1088.000000
-36.234493,99.503365,-556.083801,1090.000000
-33.935806,99.556099,-555.620728,1093.000000
-30.504194,99.633705,-554.929504,1095.000000
-29.357948,99.658356,-554.698608,1096.000000
-28.209671,99.682236,-554.467285,1097.000000
-27.060013,99.705360,-554.235718,1098.000000
-25.908747,99.727829,-554.003845,1100.000000
-23.598488,99.771782,-553.538452,1102.000000
-22.443449,99.793655,-553.305725,1103.000000
-21.287201,99.815643,-553.072754,1104.000000
-20.129747,99.837799,-552.839478,1108.000000
-16.643538,99.905487,-552.136780,1109.000000
-15.481327,99.928329,-551.902405,1110.000000
-14.317945,99.951096,-551.667847,1111.000000
-8.476074,100.063049,-550.489807,1117.000000
-7.305660,100.085091,-550.253662,1119.000000
-4.958813,100.128860,-549.780212,1122.000000
-1.432063,100.193710,-549.068604,1124.000000
-0.254763,100.215477,-548.830933,1125.000000
2.108345,100.259674,-548.353760,1129.000000
5.658368,100.327217,-547.636902,1132.000000
6.842420,100.349976,-547.397766,1133.000000
8.029033,100.372849,-547.158020,1134.000000
12.792603,100.464523,-546.195374,1139.000000
13.983276,100.487320,-545.954712,1140.000000
19.955065,100.601501,-544.747070,1146.000000
21.155874,100.624496,-544.504211,1147.000000
25.959885,100.716576,-543.532227,1152.000000
27.162302,100.739601,-543.288879,1153.000000
28.375441,100.762810,-543.043396,1155.000000
29.579948,100.785851,-542.799561,1156.000000
30.785486,100.808922,-542.555542,1158.000000
33.199646,100.855064,-542.066772,1160.000000
34.427734,100.878502,-541.818115,1161.000000
35.637394,100.901581,-541.573120,1162.000000
36.848099,100.924698,-541.328125,1166.000000
42.927269,101.040947,-540.106262,1170.000000
44.144764,101.064339,-539.864075,1171.000000
49.033257,101.158348,-538.899536,1176.000000
50.256298,101.181877,-538.659729,1177.000000
51.480396,101.205406,-538.420227,1183.000000
57.615997,101.323471,-537.222717,1185.000000
58.846035,101.347214,-536.983154,1190.000000
63.786419,101.442612,-536.020813,1191.000000
65.021133,101.466415,-535.780212,1192.000000
66.256760,101.490219,-535.539490,1193.000000
67.493301,101.514023,-535.298523,1196.000000
72.448540,101.609505,-534.332642,1200.000000
73.689590,101.633446,-534.090576,1206.000000
79.908180,101.753563,-532.877686,1207.000000
81.154533,101.777641,-532.634521,1209.000000
84.898766,101.850006,-531.903809,1212.000000
87.399216,101.898254,-531.415710,1215.000000
88.651955,101.922424,-531.171082,1220.000000
94.938438,102.043747,-529.943115,1223.000000
96.194977,102.068008,-529.697754,1224.000000
97.452370,102.092300,-529.452393,1226.000000
99.969810,102.140961,-528.962158,1228.000000
103.756844,102.214218,-528.230164,1232.000000
105.027412,102.238800,-527.986084,1235.000000
108.821732,102.312317,-527.260742,1238.000000
111.355675,102.361473,-526.778870,1239.000000
112.623932,102.386055,-526.538269,1243.000000
116.438026,102.460030,-525.815369,1245.000000
118.981689,102.509399,-525.333984,1247.000000
120.254677,102.534088,-525.093018,1250.000000
122.803467,102.583481,-524.610718,1251.000000
124.082527,102.608368,-524.368652,1254.000000
126.641090,102.658546,-523.884277,1255.000000
127.918541,102.683716,-523.642395,1259.000000
